ID,Artist,Title,Medium,Links,Details,Size,Category,Owner,Location,Gallery,Status,Value.DRK,Value.FS,Value.Safeco,Acquired,ID.FS,ID.BK,Distributed
55,"Fellini, Melinda",Red Sycamore,Oil on Canvas,https://art.xanadugallery.com/collections/melinda-fellini?srsltid=AfmBOoqs-Xh2emHIcMpi_rblOB9zloY3aEjNRvpMpxDMvWfn4ycbfXMF,,24x36,Fine Art,Chris,Scottsdale,Xanadu Gallery,Divide,3750,"$1,200.00",3750,2003,70,55,2025
52,"Fellini, Melinda",Purple,Oil on Canvas,https://art.xanadugallery.com/collections/melinda-fellini?srsltid=AfmBOoqs-Xh2emHIcMpi_rblOB9zloY3aEjNRvpMpxDMvWfn4ycbfXMF,,12x18,Fine Art,Chris,Scottsdale,Xanadu Gallery,Divide,900,$900.00,,2003,88,52,2025
53,"Fellini, Melinda",Blue,Oil on Canvas,https://art.xanadugallery.com/collections/melinda-fellini?srsltid=AfmBOoqs-Xh2emHIcMpi_rblOB9zloY3aEjNRvpMpxDMvWfn4ycbfXMF,,12x19,Fine Art,Chris,Scottsdale,Xanadu Gallery,Divide,900,$900.00,,2003,87,53,2025
54,"Fellini, Melinda",Yellow,Oil on Canvas,https://art.xanadugallery.com/collections/melinda-fellini?srsltid=AfmBOoqs-Xh2emHIcMpi_rblOB9zloY3aEjNRvpMpxDMvWfn4ycbfXMF,,12x20,Fine Art,Kevin,Scottsdale,Xanadu Gallery,Divide,900,$900.00,,2003,89,54,2025
73,"Fonseca, Caio",Dark Stripe,"Color spitbite, aquatint & soapgroujnd",,#20/30,33x41,Fine Art,Jean,Portland,Addison/Ripley (DC),Divide,2600,"$2,600.00",,2004,27,73,2025
207,"Fonseca, Caio",Seven Strings Etching,"Color Spitbite, aquatint, softground",,"Print 33/50 2001.  Acquired from Idaho; there is another piece by the same artist in Scottsdale, but I still cannot trace the origin.",27x43,Fine Art,Bill,Portland,David Floria,Completed,2200,"$2,600.00",,,100,207,2021
42,"Frank, Valerie",Things Rising and Falling,Mixed,,,26x37,Fine Art,Cathy,Scottsdale,Broschofsky,Divide,1800,"$1,800.00",,1994,91,42,2025
109,"Gartwaite, Ernest",Mohegan Spirit I & IV,Oil on Wood,,"two works, unframed on curved wood",10x14,Fine Art,Jean,Portland,Severn,Completed,1100,"$1,100.00",,1992,52,109,2021
23,"Gasser, Karl",Portrait of Mary,Silver Leaf on Wood Frame,,Mary Kayser,28x22 ft,Fine Art,Cathy,Portland,Artist,Completed,4500,"$4,500.00",4500,1987,65,23,2021
24,"Gasser, Karl","From where, where to",Watercolor,,Old man with a rose.,29x22 in,Fine Art,Chris,Portland,Artist,Completed,3000,"$3,000.00",,1985,58,24,2021
28,"Gasser, Karl",Woman putting on her apron,Watercolor,,,12x7 in,Fine Art,Jean,Portland,Artist,Completed,1250,"$1,250.00",,1988,40,28,2021
27,"Gasser, Karl",New York in Blue,Watercolor,,,21x29 in,,,Scottsdale,Artist,,2000,,,,,27,
10,"Giarizzo, John",Piazza Novona '85,Graphite on paper,,"Released 1985, bought 1990 for $240 from Boise Art Museum",,Fine Art,Chris,Portland,Boise Art Museum,Completed,3000,"$3,000.00",,1990,61,10,2021
FS174,"Goitia, Frank",Boy in Chair,,https://downtownboise.org/do/frank-goitia-art-exhibition,Painting hanging in bedroom at Mt Hood,,Fine Art,,Portland,Boise Art Museum,Completed,,,,,174,,
